Bandwidth (Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
100000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3409166666666667,0.09819444444444443
200000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.32935416666666667,0.09819444444444443
300000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3303958333333333,0.09819444444444443
400000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3051041666666667,0.09819444444444443
500000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.30739583333333337,0.09819444444444443
600000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3135625,0.09819444444444443
700000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3219791666666667,0.09819444444444443
800000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.34379166666666666,0.09819444444444443
900000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3329791666666667,0.09819444444444443
1000000000.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.34172916666666664,0.09819444444444443
